train_acc,train_loss,val_acc,val_loss
0.08475789473684212,4.0397553,0.13119999999999998,3.7136722
0.16686315789473682,3.4843678,0.19399999999999998,3.30977
0.22442105263157894,3.1516225,0.2296,3.1780236
0.26623157894736843,2.9235225,0.26639999999999997,2.98989
0.29600000000000004,2.753966,0.27399999999999997,2.8982217
0.32385263157894734,2.6221542,0.3104,2.659392
0.34549473684210524,2.5120368,0.32439999999999997,2.657714
0.36393684210526317,2.4249856,0.31960000000000005,2.6129127
0.3789263157894737,2.349967,0.34,2.5323334
0.3932,2.2842631,0.3724,2.4159882
0.40993684210526316,2.214209,0.37040000000000006,2.424555
0.4221263157894737,2.1648316,0.3867999999999999,2.3716497
