train_acc,train_loss,val_acc,val_loss
0.03105263157894737,4.348457,0.055200000000000006,4.0817814
0.07703157894736842,3.9846907,0.11120000000000001,3.8057168
0.12191578947368421,3.7308252,0.13759999999999997,3.5795393
0.15618947368421052,3.5241895,0.1732,3.4005728
0.18606315789473682,3.3514655,0.1924,3.2965317
0.21334736842105265,3.1996944,0.21559999999999999,3.1288319
0.23515789473684215,3.0846837,0.2332,3.0352
0.25313684210526316,2.9628687,0.2648,2.940945
0.2708,2.8728387,0.27759999999999996,2.8999906
0.28787368421052634,2.7903068,0.292,2.8317878
0.30216842105263164,2.716977,0.306,2.7217934
0.3135157894736842,2.656607,0.3092,2.7597427
0.3250315789473684,2.6016848,0.3152,2.6919384
0.3328842105263158,2.5559106,0.3248,2.6284704
0.3448,2.5062275,0.3464,2.5992231
0.3527368421052632,2.4662182,0.35600000000000004,2.5612197
0.36183157894736845,2.4252446,0.3592,2.500294
0.3686315789473684,2.3892632,0.3552,2.5000923
0.3756631578947368,2.3572345,0.3624,2.4955294
0.3821894736842106,2.3227267,0.3804,2.4612918
0.39025263157894735,2.2909567,0.37279999999999996,2.438269
0.39869473684210527,2.2666078,0.36719999999999997,2.4055133
0.40305263157894733,2.2321208,0.38760000000000006,2.348826
0.40789473684210525,2.2034967,0.38919999999999993,2.330882
0.416,2.181178,0.4068,2.3332787
0.41654736842105267,2.1590655,0.3996,2.2985992
0.42227368421052636,2.1410007,0.3996,2.338452
0.4287368421052632,2.118801,0.39960000000000007,2.365967
0.4338105263157895,2.0934024,0.4044,2.2864969
0.4343578947368421,2.0811489,0.41359999999999997,2.3049502
0.4399789473684211,2.0600448,0.41240000000000004,2.2444642
0.445621052631579,2.0410063,0.4268,2.2253144
0.4497473684210526,2.0264263,0.43160000000000004,2.2126055
0.45098947368421055,2.016607,0.42560000000000003,2.221824
0.45351578947368426,2.0026486,0.4296,2.1957242
0.4581263157894737,1.9864155,0.4296,2.1687002
0.46082105263157896,1.9720855,0.44160000000000005,2.1714633
0.4619368421052632,1.9648751,0.4404,2.151937
0.46414736842105264,1.9423616,0.44,2.170286
0.46608421052631577,1.9380274,0.43720000000000003,2.1341283
0.4726105263157895,1.920948,0.4452,2.1346319
0.47444210526315794,1.9154817,0.4412,2.155478
0.47981052631578947,1.8966401,0.45080000000000003,2.1326554
0.4798736842105263,1.8930268,0.4608,2.1023796
0.4829052631578948,1.8832376,0.42479999999999996,2.230043
0.48772631578947373,1.8677499,0.45159999999999995,2.1193838
0.48658947368421057,1.8618374,0.44079999999999997,2.1203983
0.49,1.8529541,0.4524,2.1239326
0.49166315789473686,1.8390725,0.4456,2.1080763
0.4938105263157895,1.8314809,0.45679999999999993,2.110256
0.4969894736842106,1.8208648,0.456,2.0673845
0.4981473684210526,1.8148292,0.4468,2.1146882
0.49745263157894737,1.8043118,0.46480000000000005,2.062081
0.4999789473684211,1.7934197,0.4568,2.0735738
0.5032421052631579,1.7864848,0.4604,2.0641246
0.5042315789473685,1.78586,0.4612,2.0568128
0.5045263157894737,1.7751338,0.45439999999999997,2.08646
0.5106736842105263,1.7682062,0.46,2.091067
0.5095368421052632,1.7643318,0.46919999999999995,2.027575
0.5121473684210527,1.7532318,0.4632,2.0306857
0.5133052631578947,1.7432317,0.474,2.0563416
0.5154315789473685,1.7417088,0.45760000000000006,2.0636086
0.5165473684210526,1.7341714,0.4708,2.0694442
0.5177684210526317,1.7308056,0.4648,2.0511725
0.5186947368421052,1.7244349,0.46919999999999995,2.0255241
0.5226526315789474,1.7105794,0.4732,2.0413206
0.5214947368421052,1.7083052,0.47600000000000003,2.0167136
0.5248,1.7023118,0.4744,2.0323753
0.526,1.6960518,0.47240000000000004,2.0408983
0.5257684210526316,1.6917306,0.4764,2.0221615
0.5254105263157896,1.6887604,0.47240000000000004,2.009105
0.5297894736842105,1.6793817,0.48,2.0072284
0.5319157894736842,1.6700588,0.48599999999999993,2.0107267
0.5302526315789474,1.6784126,0.48440000000000005,2.0034375
0.5341263157894737,1.6688508,0.4804,2.0059254
0.5342526315789474,1.6588626,0.47800000000000004,1.9964992
0.534421052631579,1.6624018,0.4796,2.0043442
0.5354736842105263,1.6555785,0.478,1.9839286
0.5332842105263158,1.6551809,0.48200000000000004,2.0004966
0.5387157894736843,1.6532555,0.48719999999999997,1.982646
0.5392842105263158,1.6428667,0.4864,1.9872444
0.5384631578947369,1.6376524,0.48200000000000004,1.9759082
0.5397052631578948,1.6366856,0.4888,1.9833832
0.5416842105263158,1.635806,0.47519999999999996,1.9862736
0.5413894736842104,1.6256447,0.48279999999999995,1.9786209
0.5415157894736843,1.6309112,0.4844,1.978543
0.5413263157894737,1.6262022,0.48560000000000003,1.9626318
0.543978947368421,1.6251979,0.4844,1.976267
0.5438947368421053,1.6198653,0.48560000000000003,1.9734706
0.5429052631578948,1.6176698,0.4871999999999999,1.9756795
0.5450736842105263,1.6156605,0.4832,1.9837877
0.5472210526315788,1.6157794,0.48519999999999996,1.9736902
0.5470526315789475,1.6128396,0.48639999999999994,1.9780556
0.5444631578947369,1.6170539,0.4867999999999999,1.969242
0.5446947368421053,1.6187607,0.48680000000000007,1.9706583
0.5461473684210525,1.6110642,0.4876,1.9734322
0.5445473684210526,1.6106191,0.486,1.9741343
0.544021052631579,1.6122139,0.4867999999999999,1.9718628
0.5460421052631579,1.6078359,0.4868,1.9751384
0.5458526315789473,1.6141862,0.4892,1.968579
